"","Pick","Team","Player","Years","GamesPlayed","FGPercent","ThreePointPercent","FreeThrowPercent","MPG","PTS","TRB","AST","WS","WS/48","BPM","VORP","NBAID","STL","BLK","TOV","MaxGames","AvailabilityScore","Position","PerformanceScore"
"452",42,"CLE","Daniel Gibson",7,397,0.402,0.407,0.78,23.5,7.8,2,2,16,0.082,"-1",2.4,200789,0.612,0.217,0.94,574,0.691637630662021,"G",3.64725836695463
"453",47,"UTA","Paul Millsap",16,1085,0.489,0.341,0.736,28.1,13.4,7.1,2.2,95.4,0.15,"1.9",29.9,200794,1.223,0.963,1.686,1312,0.826981707317073,"F",4.51362680342336
"454",49,"DEN","Leon Powe",5,239,0.515,0,0.682,13.9,6.2,3.8,0.3,12,0.174,"-1.6",0.3,200796,0.289,0.343,0.791,410,0.582926829268293,"F",1.81349775824822
"455",50,"CHA","Ryan Hollins",10,518,0.584,0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,"-4.1",-3.2,200797,0.181,0.523,0.741,820,0.631707317073171,"C",0.908571237081397
"456",1,"POR","Greg Oden",3,105,0.574,0,0.658,19.3,8,6.2,0.5,7.3,0.174,"-0.4",0.8,201141,0.381,1.238,1.314,246,0.426829268292683,"C",2.08529864383809
"457",2,"SEA","Kevin Durant",17,1123,0.502,0.39,0.882,36.7,27.2,7,4.4,175.4,0.204,"6.4",87.6,201142,1.074,1.17,3.286,1394,0.805595408895265,"F",8.69183854084223
"458",3,"ATL","Al Horford",18,1138,0.509,0.377,0.763,31.6,12.9,7.9,3.2,117.3,0.157,"2.9",44.2,201143,0.782,1.17,1.402,1476,0.7710027100271,"C",4.05781586973051
"459",4,"MEM","Mike Conley",18,1172,0.438,0.389,0.825,31.2,14.1,2.9,5.7,105.7,0.139,"2.4",40.7,201144,1.39,0.216,1.883,1476,0.794037940379404,"G",6.83146970387999
"460",5,"BOS","Jeff Green",17,1217,0.45,0.338,0.804,27.3,11.8,4,1.5,55.9,0.081,"-1.4",4.6,201145,0.624,0.486,1.301,1394,0.873027259684362,"F",3.65882975739787
"461",6,"MIL","Yi Jianlian",5,272,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,"-4.3",-3.5,201146,0.5,0.676,1.11,410,0.663414634146341,"F",2.4556894900248
"462",7,"MIN","Corey Brewer",13,819,0.425,0.284,0.713,22.9,8.7,2.8,1.5,22.5,0.058,"-1.6",2,201147,1.249,0.271,1.16,1066,0.768292682926829,"G",4.041935136715
"463",8,"CHA","Brandan Wright",10,428,0.607,0,0.674,16.2,7,3.6,0.5,26.2,0.181,"2.3",7.5,201148,0.463,0.993,0.472,820,0.521951219512195,"F",2.19384017694468
"464",9,"CHI","Joakim Noah",13,672,0.491,0,0.7,27.7,8.8,9,2.8,61.9,0.159,"2.5",20.9,201149,0.795,1.301,1.686,1066,0.630393996247655,"F",3.75812027371212
"465",10,"SAC","Spencer Hawes",10,684,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,"-1.1",3.4,201150,0.386,0.953,1.42,820,0.834146341463415,"F",3.18536222478845
